Year,Rank,Name,Age,Exp,G,Rsh,RshYd,Y/Rsh,RshTD,Rec,RecYd,RecTD,FP/G,FantPt,Team
2000,77,Terry Allen,32.0,10.0,3,45,179,4.0,2,1,7,0,10.5,31.6,NO
2000,78,Adrian Murrell,30.0,8.0,8,19,57,3.0,0,16,93,0,3.9,31.0,WAS
2000,79,Curtis Enis,24.0,3.0,9,36,84,2.3,1,7,58,0,3.0,27.2,CHI
2000,80,KaRon Coleman,22.0,1.0,6,47,162,3.4,1,1,5,0,4.0,23.7,DEN
2000,81,Skip Hicks,26.0,3.0,6,29,78,2.7,1,5,43,0,3.8,23.1,WAS
2000,82,De'Mond Parker,24.0,2.0,7,17,86,5.1,0,9,50,0,3.2,22.6,GB
2000,83,Jerald Moore,26.0,5.0,5,37,156,4.2,1,0,0,0,4.3,21.6,NO
2000,84,Bob Christian,32.0,9.0,4,7,19,2.7,0,12,74,0,5.3,21.3,ATL
2000,85,Michael Wiley,22.0,1.0,5,24,88,3.7,0,9,31,0,4.2,20.9,DAL
2000,86,Stacey Mack,25.0,2.0,3,54,145,2.7,1,0,0,0,6.8,20.5,JAX
2000,87,Terrelle Smith,22.0,1.0,9,29,131,4.5,0,4,26,0,2.2,19.7,NO
2000,88,Sedrick Irvin,22.0,2.0,4,9,49,5.4,0,6,76,0,4.6,18.5,DET
2000,89,Mike Cloud,25.0,2.0,6,30,84,2.8,1,2,16,0,3.0,18.0,KC
2000,90,Terry Jackson,24.0,2.0,4,4,6,1.5,1,3,20,1,4.4,17.6,SF
2000,91,Chris Howard,25.0,3.0,2,21,52,2.5,1,3,26,0,8.4,16.8,JAX
2000,92,Howard Griffith,33.0,8.0,4,5,4,0.8,0,5,48,1,4.0,16.2,DEN
2000,93,Robert Chancey,28.0,4.0,3,42,141,3.4,0,1,6,0,5.2,15.7,SD
2000,94,Paul Smith,22.0,1.0,7,16,73,4.6,0,2,55,0,2.1,14.8,SF
2000,95,Jonathan Linton,26.0,3.0,5,38,112,2.9,0,2,4,0,2.7,13.6,BUF
2000,96,Moe Williams,26.0,5.0,9,22,68,3.1,0,3,26,0,1.4,12.4,MIN
2000,97,Donnell Bennett,28.0,7.0,5,24,26,1.1,1,2,17,0,2.5,12.3,KC
2000,98,Olandis Gary,25.0,2.0,1,13,80,6.2,0,3,10,0,12.0,12.0,DEN
2000,99,Patrick Pass,23.0,1.0,4,18,58,3.2,0,4,17,0,2.9,11.5,NE
2000,100,Shyrone Stith,22.0,1.0,7,20,55,2.8,1,0,0,0,1.6,11.5,JAX
2000,101,William Henderson,29.0,6.0,2,2,16,8.0,0,6,37,0,5.6,11.3,GB
2000,102,Rob Konrad,24.0,2.0,3,15,39,2.6,0,5,23,0,3.7,11.2,MIA
2000,103,Terry Kirby,30.0,8.0,1,11,51,4.6,0,3,19,0,10.0,10.0,OAK
2000,104,Marlon Barnes,24.0,1.0,6,15,81,5.4,0,1,7,0,1.6,9.8,CHI
2000,105,Raymont Harris,30.0,7.0,3,13,36,2.8,0,4,20,0,3.2,9.6,
2000,106,Rabih Abdullah,25.0,2.0,3,16,70,4.4,0,1,11,0,3.0,9.1,TB
2000,107,Sam Gash,31.0,9.0,2,2,2,1.0,0,2,8,1,4.5,9.0,BAL
2000,108,Maurice Smith,24.0,1.0,4,17,72,4.2,0,1,5,0,2.2,8.7,ATL
2000,109,Clif Groce,28.0,6.0,3,4,-2,-0.5,0,6,28,0,2.9,8.6,CIN
