Year,Rank,Name,Age,Exp,G,Rsh,RshYd,RshTD,Rec,RecYd,Y/Rec,RecTD,FP/G,FantPt,Team
2000,65,MarTay Jenkins,25.0,1.0,1,1,-4,0,1,8,8.0,0,1.4,1.4,ARI
2000,66,James Williams,22.0,1.0,1,1,-5,0,1,9,9.0,0,1.4,1.4,SEA
2000,67,Dwight Stone,36.0,14.0,2,2,13,0,0,0,,0,0.6,1.3,NYJ
2000,68,Brandon Stokley,24.0,2.0,1,1,6,0,0,0,,0,0.6,0.6,BAL
2000,69,J.J. Stokes,28.0,6.0,1,1,6,0,0,0,,0,0.6,0.6,SF
2000,70,Troy Walters,24.0,1.0,1,1,3,0,0,0,,0,0.3,0.3,MIN
2000,71,Windrell Hayes,24.0,1.0,1,1,2,0,0,0,,0,0.2,0.2,NYJ
2001,1,Troy Brown,30.0,9.0,9,11,91,0,50,606,12.1,3,15.3,137.7,NE
2001,2,James Thrash,26.0,5.0,4,6,57,0,26,440,16.9,7,29.4,117.7,PHI
2001,3,Hines Ward,25.0,4.0,8,10,83,0,44,510,11.6,2,14.4,115.3,PIT
2001,4,Laveranues Coles,24.0,2.0,9,10,108,0,34,487,14.3,2,11.7,105.5,NYJ
2001,5,Tim Brown,35.0,14.0,4,4,39,0,29,363,12.5,5,24.8,99.2,OAK
2001,6,Marty Booker,25.0,3.0,5,4,8,0,27,295,10.9,3,16.1,80.7,CHI
2001,7,Peerless Price,25.0,3.0,6,6,97,0,19,302,15.9,3,12.8,76.9,BUF
2001,8,David Patten,27.0,5.0,5,5,67,1,14,263,18.8,3,15.1,75.4,NE
2001,9,David Boston,23.0,3.0,5,5,35,0,28,374,13.4,1,15.0,74.9,ARI
2001,10,Terrell Owens,28.0,6.0,4,4,21,0,22,285,13.0,3,17.6,70.6,SF
2001,11,Randy Moss,24.0,4.0,4,3,38,0,19,276,14.5,3,17.4,69.6,MIN
2001,12,Peter Warrick,24.0,2.0,7,8,14,0,33,288,8.7,1,9.9,69.2,CIN
2001,13,Curtis Conway,30.0,9.0,6,7,116,1,21,304,14.5,0,11.5,69.0,SD
